reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,fixation.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
78,80,162,3,0,21,6,25.505091800005175,,25.49244170001475,25.505091800005175,26.50520620000316,26.50520620000316,26.80769109999528,t,0.2851836999761872,None,26.50520620000316,437829,001,2024-11-18_11h17.35.035,Delay Discounting Task,2024.1.5,None,2024-11-18 11h17.40.218195 +0530,
15,35,13,3,1,22,1,26.821632900013356,,26.808540700003505,26.821632900013356,27.821721100015566,27.821721100015566,27.97409719999996,t,0.14497059999848716,None,27.821721100015566,437829,001,2024-11-18_11h17.35.035,Delay Discounting Task,2024.1.5,None,2024-11-18 11h17.40.218195 +0530,
11,30,7,3,2,23,0,27.98820620001061,,27.974884700000985,27.98820620001061,28.98801510001067,28.98801510001067,30.307906100002583,l,1.306163600005675,None,28.98801510001067,437829,001,2024-11-18_11h17.35.035,Delay Discounting Task,2024.1.5,None,2024-11-18 11h17.40.218195 +0530,
67,75,119,3,3,24,5,30.32077879999997,,30.309639200015226,30.32077879999997,31.320896899997024,31.320896899997024,32.64038029999938,l,1.3042219000053592,None,31.320896899997024,437829,001,2024-11-18_11h17.35.035,Delay Discounting Task,2024.1.5,None,2024-11-18 11h17.40.218195 +0530,
49,60,89,3,4,25,4,32.65344829999958,,32.64149899999029,32.65344829999958,33.653746600000886,33.653746600000886,33.990372500004014,l,0.33326820001821034,None,33.653746600000886,437829,001,2024-11-18_11h17.35.035,Delay Discounting Task,2024.1.5,None,2024-11-18 11h17.40.218195 +0530,
27,50,21,3,5,26,2,34.003352800005814,,33.99122110000462,34.003352800005814,35.003433600009885,35.003433600009885,35.08814420000999,t,0.07781300001079217,None,35.003433600009885,437829,001,2024-11-18_11h17.35.035,Delay Discounting Task,2024.1.5,None,2024-11-18 11h17.40.218195 +0530,
40,55,62,3,6,27,3,35.10312280000653,,35.08878389999154,35.10312280000653,36.103351500001736,36.103351500001736,36.455317100015236,l,0.3482709999952931,None,36.103351500001736,437829,001,2024-11-18_11h17.35.035,Delay Discounting Task,2024.1.5,None,2024-11-18 11h17.40.218195 +0530,
27,50,21,4,0,28,2,36.469527000008384,,36.45609930000501,36.469527000008384,37.46945179998875,37.46945179998875,37.92183420000947,l,0.4481108000036329,None,37.46945179998875,437829,001,2024-11-18_11h17.35.035,Delay Discounting Task,2024.1.5,None,2024-11-18 11h17.40.218195 +0530,
67,75,119,4,1,29,5,37.93563729999005,,37.92318690000684,37.93563729999005,38.935735500010196,38.935735500010196,39.15495960001135,t,0.2152032999729272,None,38.935735500010196,437829,001,2024-11-18_11h17.35.035,Delay Discounting Task,2024.1.5,None,2024-11-18 11h17.40.218195 +0530,
78,80,162,4,2,30,6,39.16900409999653,,39.155932399997255,39.16900409999653,40.16914050001651,40.16914050001651,40.205520999996224,l,0.019221700000343844,None,40.16914050001651,437829,001,2024-11-18_11h17.35.035,Delay Discounting Task,2024.1.5,None,2024-11-18 11h17.40.218195 +0530,
40,55,62,4,3,31,3,40.21879800001625,,40.20719570000074,40.21879800001625,41.21880040000542,41.21880040000542,43.287324600009015,l,2.0600486999901477,None,41.21880040000542,437829,001,2024-11-18_11h17.35.035,Delay Discounting Task,2024.1.5,None,2024-11-18 11h17.40.218195 +0530,
49,60,89,4,4,32,4,43.30143710001721,,43.28820350000751,43.30143710001721,44.30172980000498,44.30172980000498,45.537728600000264,l,1.2214111000066623,None,44.30172980000498,437829,001,2024-11-18_11h17.35.035,Delay Discounting Task,2024.1.5,None,2024-11-18 11h17.40.218195 +0530,
11,30,7,4,5,33,0,45.55081899999641,,45.53921429999173,45.55081899999641,46.551145500008715,46.551145500008715,47.1860161999939,t,0.620333800005028,None,46.551145500008715,437829,001,2024-11-18_11h17.35.035,Delay Discounting Task,2024.1.5,None,2024-11-18 11h17.40.218195 +0530,
