reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
49,60,89,1,3,10,4,17.664970700017875,,17.652615900005912,17.664970700017875,18.665082799998345,18.665082799998345,18.665082799998345,18.75204950000625,t,0.0738868999760598,None,135643,001,2024-11-18_11h22.07.708,Delay Discounting Task,2024.1.5,None,2024-11-18 11h22.13.585191 +0530,
78,80,162,1,4,11,6,18.764704500004882,,18.752828299999237,18.764704500004882,19.764709900016896,19.764709900016896,19.764709900016896,20.670803600020008,l,0.8997078000102192,None,135643,001,2024-11-18_11h22.07.708,Delay Discounting Task,2024.1.5,None,2024-11-18 11h22.13.585191 +0530,
40,55,62,1,5,12,3,20.68085260002408,,20.671771200024523,20.68085260002408,21.681025199999567,21.681025199999567,21.681025199999567,30.481531199999154,l,8.793716499989387,None,135643,001,2024-11-18_11h22.07.708,Delay Discounting Task,2024.1.5,None,2024-11-18 11h22.13.585191 +0530,
27,50,21,1,6,13,2,30.495617200009292,,30.482454900018638,30.495617200009292,31.49592750001466,31.49592750001466,31.49592750001466,31.68220320000546,t,0.17538530001183972,None,135643,001,2024-11-18_11h22.07.708,Delay Discounting Task,2024.1.5,None,2024-11-18 11h22.13.585191 +0530,
15,35,13,2,0,14,1,31.695666200015694,,31.68343810000806,31.695666200015694,32.695288900024025,32.695288900024025,32.695288900024025,33.581376200017985,l,0.8796769000182394,None,135643,001,2024-11-18_11h22.07.708,Delay Discounting Task,2024.1.5,None,2024-11-18 11h22.13.585191 +0530,
78,80,162,2,1,15,6,33.59489570002188,,33.58225550001953,33.59489570002188,34.59505900001386,34.59505900001386,34.59505900001386,34.96330560001661,l,0.3526555999997072,None,135643,001,2024-11-18_11h22.07.708,Delay Discounting Task,2024.1.5,None,2024-11-18 11h22.13.585191 +0530,
11,30,7,2,2,16,0,34.97800040000584,,34.96418100001756,34.97800040000584,35.97815360000823,35.97815360000823,35.97815360000823,36.09828020000714,t,0.11073070002021268,None,135643,001,2024-11-18_11h22.07.708,Delay Discounting Task,2024.1.5,None,2024-11-18 11h22.13.585191 +0530,
49,60,89,2,3,17,4,36.11117180000292,,36.09930860000895,36.11117180000292,37.110911199997645,37.110911199997645,37.110911199997645,37.13068560001557,t,0.017021000006934628,None,135643,001,2024-11-18_11h22.07.708,Delay Discounting Task,2024.1.5,None,2024-11-18 11h22.13.585191 +0530,
40,55,62,2,4,18,3,37.144242500013206,,37.1316384000238,37.144242500013206,38.144415000017034,38.144415000017034,38.144415000017034,38.24685120000504,t,0.09096249999129213,None,135643,001,2024-11-18_11h22.07.708,Delay Discounting Task,2024.1.5,None,2024-11-18 11h22.13.585191 +0530,
27,50,21,2,5,19,2,38.26085210000747,,38.2477157000103,38.26085210000747,39.2610840999987,39.2610840999987,39.2610840999987,39.329544000007445,l,0.06077559999539517,None,135643,001,2024-11-18_11h22.07.708,Delay Discounting Task,2024.1.5,None,2024-11-18 11h22.13.585191 +0530,
